Name,Debut,Final,Position,Height,Weight,Birthday,School,HOF,Active,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Jack Kiley,1952,1953,['Guard'],73,170.0,"January 5, 1929",['Syracuse'],False,False,53,2.3,1.0,1.2,22.7,,57.1,,3.5,-1.8
Earnie Killum,1971,1971,['Guard'],75,180.0,"June 11, 1948",['Stetson University'],False,False,4,0.3,0.5,0.0,0.0,,100.0,,-5.3,-0.1
Carl Kilpatrick,1980,1980,['Center'],82,230.0,"May 16, 1956",['Louisiana-Monroe'],False,False,2,1.5,2.0,0.0,50.0,,50.0,50.0,22.7,0.0
Sean Kilpatrick,2015,2018,['Guard'],76,210.0,"January 6, 1990",['Cincinnati'],False,False,157,10.3,2.7,1.5,41.3,33.5,86.2,48.7,13.2,2.6
Toby Kimball,1967,1975,"['Forward', 'Center']",78,220.0,"September 7, 1942",['UConn'],False,False,571,6.1,6.8,1.0,42.5,,57.3,,12.1,14.2
Bo Kimble,1991,1993,['Guard'],76,190.0,"April 9, 1966","['USC', ' Loyola Marymount']",False,False,105,5.5,1.5,0.9,38.6,29.1,72.8,40.8,8.1,0.1
Stan Kimbrough,1990,1993,['Guard'],71,153.0,"April 24, 1966","['Central Florida', ' Xavier']",False,False,13,1.6,0.5,0.5,40.9,50.0,100.0,43.2,11.2,0.1
Chad Kinch,1981,1981,['Guard'],76,190.0,"May 22, 1958",['UNC Charlotte'],False,False,41,2.9,0.8,1.1,36.9,,77.8,36.9,7.0,-0.5
Albert King,1982,1992,"['Forward', 'Guard']",78,190.0,"December 17, 1959",['Maryland'],False,False,534,12.1,4.2,2.2,46.1,26.8,79.1,46.6,13.1,16.3
Bernard King,1978,1993,['Forward'],79,205.0,"December 4, 1956",['Tennessee'],True,False,874,22.5,5.8,3.3,51.8,17.2,73.0,51.9,19.2,75.4
Chris King,1994,1999,['Forward'],80,215.0,"July 24, 1969",['Wake Forest'],False,False,103,6.7,3.0,1.1,42.3,38.3,63.3,45.9,10.6,1.0
Dan King,1955,1955,['Forward'],78,220.0,"January 7, 1931",['Western Kentucky'],False,False,12,1.6,2.1,0.3,31.8,,50.0,,,
Frankie King,1996,1997,['Guard'],73,185.0,"June 6, 1972",['Western Carolina University'],False,False,13,2.1,1.2,0.5,35.7,33.3,75.0,37.5,11.4,0.0
George King,1952,1958,['Guard'],72,175.0,"August 16, 1928",['University of Charleston'],False,False,411,10.3,3.9,4.8,38.2,,64.2,,14.2,31.4
George King,2019,2022,"['Guard', 'Forward']",78,225.0,"January 15, 1994",['Colorado'],False,True,5,0.2,1.2,0.0,0.0,0.0,50.0,0.0,-8.9,-0.1
Gerard King,1999,2001,['Forward'],81,230.0,"November 25, 1972",['Nicholls State'],False,False,126,4.5,3.1,0.7,50.3,,74.4,50.3,12.1,3.0
Jim King,1964,1973,['Guard'],74,175.0,"February 7, 1941",['Tulsa'],False,False,607,7.2,2.5,2.3,41.8,,78.2,,11.8,17.7
Jimmy King,1996,1997,['Guard'],77,210.0,"August 9, 1973",['Michigan'],False,False,64,4.5,1.8,1.4,42.9,14.7,69.1,43.9,10.0,0.0
Louis King,2020,2023,['Forward'],79,205.0,"April 6, 1999",['Oregon'],False,True,27,4.8,1.6,0.9,41.7,35.1,65.0,50.4,13.0,0.4
Loyd King,1972,1973,['Guard'],74,180.0,"May 29, 1949",['Virginia Tech'],False,False,84,6.0,1.5,1.4,36.5,23.3,81.1,38.5,7.6,0.1
Maurice King,1960,1963,['Guard'],74,195.0,"March 12, 1935",['Kansas'],False,False,38,5.9,2.8,3.8,39.8,,80.0,,8.5,0.0
Reggie King,1980,1985,['Forward'],78,225.0,"February 14, 1957",['Alabama'],False,False,438,8.9,6.2,1.6,51.4,0.0,69.9,51.4,13.1,24.8
Rich King,1992,1995,['Center'],86,260.0,"April 4, 1969",['Nebraska'],False,False,72,1.9,1.0,0.3,39.3,0.0,66.2,39.3,10.2,0.2
Ron King,1974,1974,['Guard'],76,185.0,"July 11, 1951",['Florida State'],False,False,9,7.1,2.1,1.6,34.3,33.3,82.4,35.7,13.1,0.2
Stacey King,1990,1997,"['Forward', 'Center']",83,230.0,"January 29, 1967",['Oklahoma'],False,False,438,6.4,3.3,0.9,47.8,23.5,70.7,47.9,11.9,10.9
Tom King,1947,1947,['Guard'],72,165.0,"March 9, 1924",['Michigan'],False,False,58,5.1,,0.6,23.7,,63.1,,,2.6
Bob Kinney,1949,1950,"['Center', 'Forward']",78,215.0,"September 16, 1920",['Rice University'],False,False,118,9.5,,1.5,35.3,,60.8,,,8.4
Tarence Kinsey,2007,2009,['Guard'],78,185.0,"March 21, 1984",['South Carolina'],False,False,109,4.7,1.3,0.5,45.3,32.4,81.7,48.1,12.4,1.6
Andrei Kirilenko,2002,2015,['Forward'],81,220.0,"February 18, 1981",,False,False,797,11.8,5.5,2.7,47.4,31.0,75.4,50.2,18.7,75.4
Alex Kirk,2015,2015,['Center'],84,245.0,"November 14, 1991",['New Mexico'],False,False,5,0.8,0.2,0.2,25.0,,100.0,25.0,8.5,0.0
Walt Kirk,1949,1952,"['Guard', 'Forward']",75,173.0,"September 3, 1924",['Illinois'],False,False,118,7.7,4.0,2.1,30.5,,71.8,,9.8,7.7
Wilbur Kirkland,1970,1970,['Forward'],79,190.0,,['Cheyney (PA)'],False,False,2,3.0,5.5,0.5,42.9,,,42.9,6.6,0.0
Corey Kispert,2022,2025,"['Guard', 'Forward']",79,220.0,"March 3, 1999",['Gonzaga'],False,True,292,11.1,2.8,1.5,47.4,38.2,80.5,59.2,11.6,9.3
Jim Kissane,1969,1969,['Forward'],79,210.0,"August 17, 1946",['Boston College'],False,False,2,3.0,1.5,0.0,33.3,,100.0,33.3,5.9,0.0
Doug Kistler,1962,1962,['Forward'],81,210.0,"March 21, 1938",['Duke'],False,False,5,1.6,0.2,0.0,50.0,,50.0,,12.2,0.0
Curtis Kitchen,1987,1987,['Forward'],81,235.0,"January 30, 1964",['South Florida'],False,False,6,1.5,1.5,0.2,50.0,0.0,75.0,50.0,18.5,0.1
Greg Kite,1984,1995,['Center'],83,250.0,"August 5, 1961",['BYU'],False,False,680,2.5,3.8,0.5,43.8,16.7,48.6,43.8,6.5,5.6
Kerry Kittles,1997,2005,['Guard'],77,179.0,"June 12, 1974",['Villanova'],False,False,507,14.1,3.9,2.6,43.9,37.8,78.0,49.3,16.0,44.8
Maxi Kleber,2018,2025,['Forward'],82,240.0,"January 29, 1992",,False,True,440,6.4,4.4,1.2,44.3,35.4,77.6,55.2,11.3,20.1
Joe Kleine,1986,2000,['Center'],83,255.0,"January 4, 1962","['Notre Dame', ' Arkansas']",False,False,965,4.8,4.1,0.6,45.3,27.1,79.4,45.4,10.5,19.1
Linas Kleiza,2006,2013,['Forward'],80,245.0,"January 3, 1985",['Missouri'],False,False,409,8.7,3.6,0.8,43.5,33.5,76.3,50.2,12.4,13.6
Leo Klier,1949,1950,"['Forward', 'Guard']",74,170.0,"May 21, 1923",['Notre Dame'],False,False,113,7.1,,1.6,28.0,,72.8,,,2.6
Bobi Klintman,2025,2025,['Forward'],81,225.0,"March 6, 2003",['Wake Forest'],False,True,8,1.9,0.9,0.9,60.0,40.0,50.0,70.0,15.9,0.2
Red Klotz,1948,1948,['Guard'],67,150.0,"October 21, 1920",['Villanova'],False,False,11,1.4,,0.6,22.6,,33.3,,,-0.1
Duane Klueh,1950,1951,['Guard'],75,175.0,"January 6, 1926",['Indiana State University'],False,False,113,8.2,3.0,1.5,36.2,,71.9,,,6.0
Lonnie Kluttz,1971,1971,['Forward'],79,220.0,"September 17, 1945",['North Carolina A&T'],False,False,3,0.0,1.7,0.0,0.0,,,0.0,-8.8,-0.1
Dalton Knecht,2025,2025,['Guard'],78,215.0,"April 19, 2001","['Northeastern Junior College', ' University of Northern Colorado', ' Tennessee']",False,True,78,9.1,2.8,0.8,46.1,37.6,76.2,57.6,12.7,2.7
Billy Knight,1975,1985,"['Guard', 'Forward']",78,195.0,"June 9, 1952",['Pitt'],False,False,821,16.9,5.3,2.3,50.7,28.4,82.7,50.9,18.2,63.9
Bob Knight,1955,1955,"['Guard', 'Forward']",74,185.0,"April 30, 1929",,False,False,2,3.5,0.5,4.0,42.9,,100.0,,12.2,0.1
Brandin Knight,2005,2005,['Guard'],72,180.0,"December 16, 1981",['Pitt'],False,False,1,0.0,0.0,1.0,0.0,,,0.0,-1.2,0.0
Brandon Knight,2012,2022,['Guard'],74,182.0,"December 2, 1991",['Kentucky'],False,False,451,14.0,3.1,3.9,41.1,35.2,80.7,47.6,13.7,11.6
Brevin Knight,1998,2009,['Guard'],70,173.0,"November 8, 1975",['Stanford'],False,False,729,7.3,2.4,6.1,41.2,13.4,78.9,41.4,14.9,32.6
Nathan Knight,2021,2023,"['Forward', 'Center']",80,253.0,"September 20, 1997",['William & Mary'],False,True,108,3.7,2.0,0.4,47.6,26.5,73.8,50.9,15.6,2.1
Negele Knight,1991,1999,['Guard'],73,175.0,"March 6, 1967",['Dayton'],False,False,276,6.2,1.3,2.8,43.6,26.3,73.0,44.4,11.3,4.2
Ron Knight,1971,1972,['Forward'],79,215.0,"August 4, 1947","['California State University', ' Los Angeles']",False,False,101,4.7,2.8,0.8,43.3,,50.0,,10.8,0.2
Toby Knight,1978,1982,['Forward'],81,210.0,"May 3, 1955",['Notre Dame'],False,False,283,12.9,5.1,1.2,51.9,0.0,74.0,51.9,15.1,15.7
Travis Knight,1997,2003,['Center'],84,235.0,"September 13, 1974",['UConn'],False,False,371,3.4,3.1,0.6,43.8,25.9,69.6,44.4,11.4,7.9
Lee Knorek,1947,1950,['Center'],79,215.0,"July 15, 1921",['Detroit Mercy'],False,False,131,6.7,,1.6,30.3,,63.7,,,9.3
Dick Knostman,1954,1954,['Center'],78,215.0,"August 9, 1931",['Kansas State'],False,False,5,2.6,3.4,1.2,30.0,,63.6,,17.6,0.2
Rod Knowles,1969,1969,"['Forward', 'Center']",81,215.0,"February 27, 1946",['Davidson'],False,False,9,1.0,1.0,0.0,28.6,,33.3,28.6,-0.6,-0.1
Kevin Knox,2019,2025,['Forward'],79,215.0,"August 11, 1999",['Kentucky'],False,True,320,7.3,2.8,0.7,39.3,34.0,72.3,47.4,9.4,0.9
Bart Kofoed,1988,1993,['Guard'],76,210.0,"March 24, 1964","['Hastings College', ' University of Nebraska at Kearney']",False,False,111,1.5,0.5,1.0,38.7,18.8,61.4,39.7,5.8,0.0
Don Kojis,1964,1975,['Forward'],77,215.0,"January 15, 1939",['Marquette'],False,False,814,12.2,5.6,1.4,44.6,,72.0,,14.9,35.8
Tyler Kolek,2025,2025,['Guard'],73,195.0,"March 27, 2001","['George Mason', ' Marquette']",False,True,41,2.0,0.7,1.7,32.9,29.8,76.5,41.5,10.3,0.4
Christian Koloko,2023,2025,['Center'],85,230.0,"June 20, 2000",['Arizona'],False,True,95,2.9,2.8,0.5,51.9,6.3,64.4,52.1,11.9,2.7
Milo Komenich,1950,1950,"['Forward', 'Center']",79,212.0,"June 22, 1920",['Wyoming'],False,False,64,9.9,,1.9,28.3,,58.4,,,1.4
Howard Komives,1965,1974,['Guard'],73,185.0,"May 9, 1941",['Bowling Green'],False,False,742,10.2,2.4,4.0,38.8,,83.0,,10.7,5.0
Jon Koncak,1986,1996,"['Center', 'Forward']",84,250.0,"May 17, 1963",['SMU'],False,False,784,4.5,4.9,1.0,47.0,22.6,59.7,47.3,9.8,29.2
John Konchar,2020,2025,['Guard'],77,210.0,"March 22, 1996",['Purdue-Fort Wayne'],False,True,307,4.2,4.0,1.4,46.9,36.1,72.7,56.3,12.5,13.8
Tom Kondla,1969,1969,['Center'],80,225.0,"November 30, 1946",['Minnesota'],False,False,42,3.3,3.0,0.3,40.0,0.0,47.8,40.0,11.5,0.0
Bud Koper,1965,1965,['Guard'],78,210.0,"August 9, 1942",['Oklahoma City University'],False,False,54,4.6,1.1,0.8,44.0,,83.3,,10.6,1.0
Joe Kopicki,1983,1985,['Forward'],81,240.0,"June 12, 1960",['Detroit Mercy'],False,False,118,3.7,2.7,0.7,49.3,27.3,81.2,49.8,14.2,3.5
Furkan Korkmaz,2018,2024,['Guard'],79,202.0,"July 24, 1997",,False,True,328,6.8,2.0,1.2,40.6,35.6,76.1,51.1,11.2,7.6
Frank Kornet,1990,1991,['Forward'],81,225.0,"January 27, 1967",['Vanderbilt'],False,False,89,1.9,1.1,0.3,36.9,26.3,59.6,39.8,6.2,0.0
Luke Kornet,2018,2025,"['Center', 'Forward']",86,250.0,"July 15, 1995",['Vanderbilt'],False,True,353,5.2,3.5,1.1,53.6,32.1,77.0,58.9,16.9,19.4
Yaroslav Korolev,2006,2007,['Forward'],81,203.0,"May 7, 1987",,False,False,34,1.1,0.5,0.4,28.3,25.0,62.5,31.5,5.6,-0.1
Kyle Korver,2004,2020,"['Guard', 'Forward']",79,212.0,"March 17, 1981",['Creighton'],False,False,1232,9.7,3.0,1.7,44.2,42.9,87.7,57.4,12.8,73.4
Tony Koski,1969,1969,['Forward'],80,215.0,"June 26, 1946",['Providence'],False,False,5,1.2,1.4,0.8,28.6,,100.0,28.6,4.9,0.0
Len Kosmalski,1975,1976,['Center'],84,245.0,"November 29, 1951",['Tennessee'],False,False,76,1.4,1.9,0.7,39.8,,77.8,,10.4,0.6
Andy Kostecka,1949,1949,['Forward'],75,203.0,"February 10, 1921",['Georgetown'],False,False,21,6.4,,0.7,41.8,,61.4,,,1.7
Harold Kottman,1947,1947,['Center'],80,220.0,"August 22, 1922",['Culver-Stockton College'],False,False,53,3.1,,0.3,31.4,,46.5,,,1.6
Kosta Koufos,2009,2019,['Center'],84,245.0,"February 24, 1989",['Ohio State'],False,False,686,5.7,5.0,0.5,53.4,0.0,58.2,53.4,15.4,28.3
Tom Kozelko,1974,1976,['Forward'],80,220.0,"July 1, 1951",['Toledo'],False,False,189,2.2,1.8,0.5,41.9,,74.5,,7.8,2.4
Ron Kozlicki,1968,1968,['Forward'],79,215.0,"December 12, 1944",['Northwestern'],False,False,37,2.9,1.9,0.4,33.9,20.7,61.8,36.4,8.0,-0.1
Arvid Kramer,1980,1980,['Center'],81,220.0,"October 2, 1956",['Augustana College (SD)'],False,False,8,2.0,1.5,0.4,31.8,,100.0,31.8,6.6,-0.1
Barry Kramer,1965,1970,"['Forward', 'Guard']",76,200.0,"November 10, 1942",['NYU'],False,False,59,3.6,1.9,0.7,33.6,0.0,72.8,33.6,9.3,0.1
Joel Kramer,1979,1983,"['Forward', 'Center']",79,203.0,"November 30, 1955",['San Diego State'],False,False,328,3.8,2.8,1.0,47.9,0.0,73.7,47.9,10.8,9.1
Steve Kramer,1968,1970,"['Guard', 'Forward']",77,200.0,"January 1, 1945",['BYU'],False,False,124,8.5,2.5,1.9,42.9,12.5,78.0,43.0,12.5,4.3
Dan Kraus,1949,1949,['Guard'],72,195.0,"February 13, 1923",['Georgetown'],False,False,13,1.6,,0.5,14.3,,45.8,,,-0.3
Herb Krautblatt,1949,1949,['Guard'],73,190.0,"November 19, 1926",['Rider University'],False,False,10,1.3,,0.4,22.2,,45.5,,,-0.1
Viacheslav Kravtsov,2013,2014,['Center'],84,260.0,"August 25, 1987",,False,False,45,2.2,1.4,0.2,67.2,,33.3,67.2,13.6,0.4
Jim Krebs,1958,1964,"['Center', 'Forward']",80,230.0,"September 8, 1935",['SMU'],False,False,515,8.0,6.2,0.8,40.5,,75.5,,11.5,12.4
Vit Krejci,2022,2025,['Guard'],80,195.0,"June 19, 2000",,False,True,138,5.6,2.4,2.0,46.5,39.4,76.0,59.4,10.3,4.0
Wayne Kreklow,1981,1981,['Guard'],76,175.0,"January 4, 1957",['Drake University'],False,False,25,1.2,0.5,0.4,23.4,25.0,70.0,24.5,-1.9,-0.3
Tommy Kron,1967,1970,['Guard'],77,200.0,"February 28, 1943",['Kentucky'],False,False,224,6.0,3.0,2.7,38.7,36.8,76.8,39.0,11.4,2.6
Tom Kropp,1976,1977,['Guard'],75,205.0,"February 12, 1953",['University of Nebraska at Kearney'],False,False,78,2.5,0.8,0.6,44.0,,70.2,,9.9,0.5
Nenad Krstić,2005,2011,['Center'],84,240.0,"July 25, 1983",,False,False,419,10.0,5.4,0.8,49.4,14.3,73.0,49.4,13.6,21.5
Larry Krystkowiak,1987,1997,"['Forward', 'Center']",81,220.0,"September 23, 1964",['Montana'],False,False,420,8.2,4.9,1.2,45.7,13.9,79.5,45.8,12.0,15.6
Steve Kuberski,1970,1978,"['Forward', 'Center']",80,215.0,"November 6, 1947",['Bradley'],False,False,568,5.5,3.8,0.6,41.7,,76.7,,11.4,11.4
Leo Kubiak,1950,1950,['Guard'],71,160.0,"December 25, 1927",['Bowling Green'],False,False,62,11.5,,3.2,32.6,,81.4,,,0.5
Bruce Kuczenski,1984,1984,['Forward'],82,230.0,"February 3, 1961",['UConn'],False,False,15,1.9,1.5,0.5,27.0,,66.7,27.0,-0.5,-0.4
Frank Kudelka,1950,1953,"['Guard', 'Forward']",74,193.0,"June 25, 1925","[""Saint Mary's""]",False,False,228,7.2,3.2,2.1,33.1,,70.8,,12.9,4.1
John Kuester,1978,1980,['Guard'],74,180.0,"February 6, 1955",['UNC'],False,False,135,3.3,1.0,2.3,42.7,0.0,83.3,42.7,11.4,2.0
Ray Kuka,1948,1949,['Forward'],75,200.0,"February 17, 1922",['Notre Dame'],False,False,52,4.9,,0.7,32.0,,59.1,,,3.2
Toni Kukoč,1994,2006,['Forward'],82,192.0,"September 18, 1968",,True,False,846,11.6,4.2,3.7,44.7,33.5,72.9,49.2,17.3,59.6
Arnoldas Kulboka,2022,2022,['Forward'],81,198.0,"January 4, 1998",,False,False,2,0.0,0.0,0.0,0.0,0.0,,0.0,-10.7,0.0
Jonathan Kuminga,2022,2025,['Forward'],80,210.0,"October 6, 2002",,False,True,258,12.5,4.0,1.8,50.7,33.2,69.6,55.0,15.4,12.0
Kevin Kunnert,1974,1982,"['Center', 'Forward']",84,230.0,"November 11, 1951",['Iowa'],False,False,555,8.3,7.3,1.4,47.6,,68.2,47.6,14.6,22.0
Terry Kunze,1968,1968,"['Guard', 'Forward']",76,210.0,"March 11, 1943",['Minnesota'],False,False,46,5.0,1.6,1.0,33.9,45.5,57.8,34.9,5.1,0.6
Mitch Kupchak,1977,1986,"['Forward', 'Center']",81,230.0,"May 24, 1954",['UNC'],False,False,510,10.2,5.4,0.7,52.3,0.0,70.4,52.3,16.2,27.1
C.J. Kupec,1976,1978,"['Forward', 'Center']",78,220.0,"January 26, 1953",['Michigan'],False,False,147,4.1,2.1,0.7,42.7,,77.2,,11.5,1.8
Rodions Kurucs,2019,2021,['Forward'],81,228.0,"February 5, 1998",,False,False,131,6.0,3.1,0.9,44.4,32.9,73.9,51.7,10.0,2.3
Rob Kurz,2009,2009,['Forward'],81,232.0,"March 5, 1985",['Notre Dame'],False,False,40,3.9,2.0,0.5,38.9,39.5,80.0,44.7,11.8,0.7
Ibo Kutluay,2005,2005,['Guard'],78,200.0,"July 1, 1974",,False,False,5,0.0,0.2,0.0,0.0,,,0.0,-12.9,-0.1
Kyle Kuzma,2018,2025,['Forward'],81,221.0,"July 24, 1995",['Utah'],False,True,541,17.0,6.3,2.7,45.0,33.4,72.1,51.7,13.7,14.4
Ognjen Kuzmić,2014,2015,['Center'],85,251.0,"May 16, 1990",,False,False,37,0.9,1.0,0.2,52.0,,60.0,52.0,7.6,0.2
Mindaugas Kuzminskas,2017,2018,['Forward'],81,215.0,"October 19, 1989",,False,False,69,6.2,1.8,1.0,42.6,32.1,80.9,49.9,12.3,1.1
Fred LaCour,1961,1963,"['Guard', 'Forward']",77,210.0,"February 7, 1938",['San Francisco'],False,False,144,6.5,3.3,1.9,42.1,,77.4,,11.9,3.4
Raef LaFrentz,1999,2008,"['Forward', 'Center']",83,240.0,"May 29, 1976",['Kansas'],False,False,563,10.1,6.1,1.1,46.6,36.3,71.1,51.6,16.1,39.4
Tom LaGarde,1978,1985,"['Center', 'Forward']",82,220.0,"February 10, 1955",['UNC'],False,False,312,7.6,5.1,1.5,46.2,0.0,64.0,46.2,11.5,6.5
Jake LaRavia,2023,2025,['Forward'],80,235.0,"November 3, 2001","['Indiana State University', ' Wake Forest']",False,True,136,6.9,3.3,1.7,42.9,37.1,75.1,52.2,11.7,4.4
Rusty LaRue,1998,2004,['Guard'],74,210.0,"December 10, 1973",['Wake Forest'],False,False,98,5.0,1.3,1.6,37.6,31.8,84.1,43.1,8.9,0.5
Rudy LaRusso,1960,1969,"['Forward', 'Center']",79,220.0,"November 11, 1937",['Dartmouth College'],False,False,736,15.6,9.4,2.1,43.1,,76.7,,15.5,61.4
Zach LaVine,2015,2025,"['Guard', 'Forward']",77,200.0,"March 10, 1995",['UCLA'],False,True,654,20.8,4.1,4.0,47.0,39.1,83.3,54.4,17.3,37.3
Skal Labissière,2017,2025,['Forward'],82,235.0,"March 18, 1996",['Kentucky'],False,False,152,7.1,4.4,1.0,49.2,36.0,74.8,51.0,15.0,4.4
Reggie Lacefield,1969,1969,"['Guard', 'Forward']",77,230.0,"April 10, 1945",['Western Michigan'],False,False,8,3.0,1.4,0.0,50.0,0.0,50.0,50.0,12.8,0.1
Edgar Lacey,1969,1969,['Forward'],78,190.0,"August 2, 1944",['UCLA'],False,False,46,5.1,3.9,0.7,44.7,0.0,56.7,44.7,10.5,0.5
Sam Lacey,1971,1983,['Center'],82,235.0,"March 28, 1948",['New Mexico State'],False,False,1002,10.3,9.7,3.7,44.1,18.8,73.8,44.1,14.2,50.9
Bob Lackey,1973,1974,"['Guard', 'Forward']",77,200.0,"April 4, 1949","['Casper College', ' Marquette']",False,False,71,5.8,2.3,1.9,43.1,40.0,59.3,43.4,7.1,-0.1
Wendell Ladner,1971,1975,['Forward'],77,220.0,"October 6, 1948",['Southern Miss'],False,False,300,11.6,8.3,2.1,38.6,25.2,71.2,40.0,12.9,3.6
Christian Laettner,1993,2005,"['Forward', 'Center']",83,235.0,"August 17, 1969",['Duke'],False,False,868,12.8,6.7,2.6,48.0,26.1,82.0,48.6,16.9,64.9
Oliver Lafayette,2010,2010,['Guard'],74,190.0,"May 6, 1984","['Blinn College', ' Brown Mackie College', ' Houston']",False,False,1,7.0,4.0,2.0,50.0,50.0,,58.3,12.8,0.0
Bill Laimbeer,1981,1994,['Center'],83,245.0,"May 19, 1957",['Notre Dame'],False,False,1068,12.9,9.7,2.0,49.8,32.6,83.7,50.7,16.1,105.6
Pete Lalich,1947,1947,['Forward'],74,190.0,"June 23, 1920",['Ohio University'],False,False,1,0.0,,0.0,0.0,,,,,0.0
Bo Lamar,1974,1977,['Guard'],73,180.0,"April 7, 1951",['Louisiana'],False,False,273,16.4,2.7,3.9,41.1,26.7,76.8,42.4,14.6,5.4
Anthony Lamb,2021,2023,['Forward'],78,227.0,"January 20, 1998",['University of Vermont'],False,True,88,6.2,3.3,1.4,44.7,35.3,79.0,55.8,10.3,2.6
Doron Lamb,2013,2014,['Guard'],76,210.0,"November 6, 1991",['Kentucky'],False,False,100,3.5,1.0,0.8,38.1,39.4,70.0,45.8,6.3,0.1
Jeremy Lamb,2013,2022,"['Guard', 'Forward']",77,180.0,"May 30, 1992",['UConn'],False,False,573,10.1,3.6,1.6,43.9,34.2,85.7,50.1,15.6,26.8
John Lambert,1976,1982,"['Center', 'Forward']",82,225.0,"January 14, 1953",['USC'],False,False,446,3.8,3.3,0.6,42.8,8.3,69.3,42.8,10.4,6.9
Jeff Lamp,1982,1989,"['Forward', 'Guard']",78,195.0,"March 9, 1959",['Virginia'],False,False,291,5.1,1.5,0.9,47.0,22.2,84.1,47.4,11.5,5.2
Maciej Lampe,2004,2006,['Center'],83,275.0,"February 5, 1985",,False,False,64,3.4,2.2,0.3,40.7,25.0,67.6,41.1,8.5,-0.2
Jim Lampley,1987,1987,['Center'],82,230.0,"July 2, 1960","['Vanderbilt', ' Little Rock']",False,False,1,3.0,5.0,0.0,33.3,,50.0,33.3,8.3,0.0
Sean Lampley,2003,2004,['Forward'],79,227.0,"September 3, 1979",['California'],False,False,45,4.5,2.1,0.7,46.3,0.0,69.1,46.3,13.5,1.1
Jock Landale,2022,2025,['Center'],83,256.0,"October 25, 1995","[""Saint Mary's""]",False,True,221,5.4,3.3,1.0,51.8,29.7,76.5,55.8,16.1,8.2
Carl Landry,2008,2016,['Forward'],81,248.0,"September 19, 1983","['Vincennes University', ' Purdue']",False,False,513,10.8,4.9,0.7,53.5,30.0,78.5,53.6,17.5,35.9
Marcus Landry,2010,2010,['Forward'],79,230.0,"November 1, 1985",['Wisconsin'],False,False,18,2.4,1.1,0.0,37.2,32.1,60.0,47.7,7.2,-0.1
Mark Landsberger,1978,1984,"['Forward', 'Center']",80,215.0,"May 21, 1955","['Minnesota', ' Arizona State']",False,False,437,5.6,6.1,0.5,48.1,0.0,52.2,48.1,12.8,12.2
Jerome Lane,1989,1993,['Forward'],78,230.0,"December 4, 1966",['Pitt'],False,False,218,5.3,5.8,1.5,44.1,6.3,37.9,44.2,12.6,2.3
Andrew Lang,1989,2000,['Center'],83,245.0,"June 28, 1966",['Arkansas'],False,False,737,6.0,4.8,0.6,47.0,25.0,74.4,47.1,11.7,28.6
Antonio Lang,1995,2000,"['Forward', 'Guard']",80,205.0,"May 15, 1972",['Duke'],False,False,143,2.3,1.5,0.3,45.5,0.0,71.9,45.5,8.8,1.7
James Lang,2007,2007,['Center'],82,285.0,"October 17, 1983",,False,False,11,1.0,1.0,0.2,44.4,,60.0,44.4,6.6,0.1
Trajan Langdon,2000,2002,['Guard'],75,197.0,"May 13, 1976",['Duke'],False,False,119,5.4,1.3,1.3,41.6,39.6,91.0,49.7,12.2,2.9
Keith Langford,2008,2008,['Guard'],76,215.0,"September 15, 1983",['Kansas'],False,False,2,1.0,1.0,0.0,25.0,,,25.0,-2.4,0.0
Romeo Langford,2020,2023,['Guard'],77,216.0,"October 25, 1999",['Indiana'],False,True,141,4.6,2.1,0.7,43.0,28.8,65.9,47.6,8.5,2.0
Dan Langhi,2001,2004,['Forward'],83,220.0,"November 28, 1977",['Vanderbilt'],False,False,133,3.0,1.5,0.3,39.1,28.9,61.3,40.3,8.8,0.3
Bob Lanier,1971,1984,['Center'],83,250.0,"September 10, 1948",['St. Bonaventure'],True,False,959,20.1,10.1,3.1,51.4,15.4,76.7,51.4,21.7,117.1
Stu Lantz,1969,1976,['Guard'],75,175.0,"July 13, 1946",['Nebraska'],False,False,547,12.4,3.3,2.9,43.5,,81.4,,13.4,32.5
Nicolás Laprovíttola,2017,2017,['Guard'],76,180.0,"January 31, 1990",,False,False,18,3.3,0.6,1.6,42.6,37.0,100.0,53.2,8.4,0.2
York Larese,1962,1962,['Guard'],76,183.0,"July 18, 1938",['UNC'],False,False,59,5.1,1.3,1.6,37.3,,80.6,,9.3,0.3
Shane Larkin,2014,2018,['Guard'],71,175.0,"October 2, 1992",['Miami (FL)'],False,False,256,5.5,1.9,2.9,42.2,33.6,77.7,46.8,11.4,4.4
Pelle Larsson,2025,2025,['Guard'],77,215.0,"February 23, 2001","['Utah', ' Arizona']",False,True,55,4.6,1.7,1.2,43.8,33.7,67.2,51.7,10.2,1.4
John Laskowski,1976,1977,['Guard'],78,185.0,"June 7, 1953",['Indiana'],False,False,118,7.1,2.4,0.8,39.8,,76.0,,10.9,2.0
Stéphane Lasme,2008,2008,['Forward'],80,215.0,"December 17, 1982",['UMass'],False,False,16,5.2,3.3,0.2,45.1,,59.4,45.1,11.7,0.3
Dave Lattin,1968,1973,"['Forward', 'Center']",78,225.0,"December 23, 1943",['Texas-El Paso'],False,False,263,7.2,5.1,0.7,47.7,0.0,63.1,47.7,13.6,6.3
